transaction_id,customer_id,card_id,merchant_id,transaction_date,posting_date,amount,currency,transaction_type,channel,status,emi_flag,reward_points,bill_cycle_month,payment_due_date,payment_status,min_due,total_due,fraud_flag,remarks
401,103,102,2,2025-03-10,2025-02-12,456.89,INR,Purchase,Online,SUCCESS,,401,2025-06,2025-01-20,paid,148.12,1292.73,N,incremental autoloader credit card transaction file
402,104,103,3,2025-01-11,2025-03-13,457.78,INR,Purchase,Online,SUCCESS,,402,2025-07,2025-02-21,paid,148.24,1293.46,N,incremental autoloader credit card transaction file
403,105,104,4,2025-02-12,2025-01-14,"2,500",INR,Purchase,Online,SUCCESS,Y,403,2025-02,2025-03-22,paid,148.36,1294.19,N,incremental autoloader credit card transaction file
404,106,105,5,2025-03-13,,459.56,INR,Purchase,Online,SUCCESS,,404,2025-09,2025/02/25,paid,148.48,1294.92,N,incremental autoloader credit card transaction file
405,107,106,6,2025-01-14,2025-03-16,460.45,INR,Purchase, mobile app ,failed,,,2025-10,2025-02-24,paid,148.6,1295.65,N,incremental autoloader credit card transaction file
406,108,107,7,,wrong_date,461.34,USD,Purchase,Online,SUCCESS,N,406,2025-11,2025-03-25,paid,148.72,1296.38,N,incremental autoloader credit card transaction file
407,109,108,8,2025-03-16,2025-02-18,$700,INR,Purchase,Online,SUCCESS,,407,2025-12,2025-01-26,paid,148.84,1297.11,N,incremental autoloader credit card transaction file
408,110,109,9,wrong_date,2025-03-19,abc,INR, purchase ,,SUCCESS,,408,2025-01,25-02-2025,,148.96,"₹5,000",N,incremental autoloader credit card transaction file
409,111,110,10,2025-02-18,2025-01-20,464.01,INR,Purchase,Online,SUCCESS,,409,2025-02,2025-03-28,paid,149.08,1298.57,N,incremental autoloader credit card transaction file
410,112,111,11,2025-03-19,2025-02-21,464.9, inr ,Purchase,Online,SUCCESS,,410,2025-03,2025-01-01,paid,149.2,1299.3,N,incremental autoloader credit card transaction file
411,113,112,12,2025-01-20,2025-03-22,465.79,INR,Purchase,Online,SUCCESS,,411,2025-04,2025-02-02,paid,149.32,1300.03,N,incremental autoloader credit card transaction file
412,114,113,13,2025-02-21,2025/02/25,466.68,INR,Purchase,Online,SUCCESS,,412,2025-05,2025-03-03,paid,149.44,1300.76,N,incremental autoloader credit card transaction file
413,115,114,14,2025-03-22,2025-02-24,467.57,INR,Purchase,Online,SUCCESS,,413,2025-06,2025-01-04,paid,149.56,1301.49,N,incremental autoloader credit card transaction file
414,116,115,15,2025/02/25,2025-03-25,468.46,INR,REFUND,Online,,,414,2025-07,2025-02-05,paid,149.68,1302.22,N,incremental autoloader credit card transaction file
415,117,116,16,2025-02-24,2025-01-26,469.35,INR,Purchase,Online,SUCCESS,,415,2025-08,wrong_date,paid,149.8,1302.95,N,incremental autoloader credit card transaction file
416,118,117,17,2025-03-25,25-02-2025,"2,500",,Purchase,Online,SUCCESS,Y,abc,,2025-01-07,OVERDUE,149.92,,N,incremental autoloader credit card transaction file
417,119,118,18,2025-01-26,2025-03-28,471.13,INR,Purchase,Online,SUCCESS,,417,2025-10,2025-02-08,paid,150.04,1304.41,N,incremental autoloader credit card transaction file
418,120,119,19,25-02-2025,2025-01-01,$700,INR,,Online,SUCCESS,,418,2025-11,2025-03-09,paid,150.16,1305.14,N,incremental autoloader credit card transaction file
419,121,120,20,2025-03-28,2025-02-02,472.91,INR,Purchase,Online,SUCCESS,,419,2025-12,2025-01-10,paid,150.28,1305.87,N,incremental autoloader credit card transaction file
420,122,121,21,2025-01-01,2025-03-03,473.8, inr , purchase , mobile app ,SUCCESS,N,420,Jan-2025,2025-02-11,paid,₹500,1306.6,N,incremental autoloader credit card transaction file
421,123,122,22,2025-02-02,2025-01-04,474.69,INR,Purchase,Online,SUCCESS,,421,2025-02,2025-03-12,paid,150.52,1307.33,N,incremental autoloader credit card transaction file
422,124,123,23,2025-03-03,2025-02-05,475.58,INR,Purchase,Online,SUCCESS,,422,2025-03,2025-01-13,paid,150.64,1308.06,N,incremental autoloader credit card transaction file
423,125,124,24,2025-01-04,wrong_date,476.47,INR,Purchase,Online,,,423,2025-04,2025-02-14,paid,150.76,1308.79,N,incremental autoloader credit card transaction file
424,126,125,25,2025-02-05,2025-01-07,477.36,INR,Purchase,Online,SUCCESS,,424,2025-05,2025-03-15,,150.88,1309.52,N,incremental autoloader credit card transaction file
425,127,126,26,wrong_date,2025-02-08,abc,INR,Purchase,Online,SUCCESS,,100 points,2025-06,,paid,151.0,wrong,N,incremental autoloader credit card transaction file
426,128,127,27,2025-01-07,2025-03-09,479.14,INR,Purchase,Online,SUCCESS,,426,2025-07,2025-02-17,paid,151.12,1310.98,N,incremental autoloader credit card transaction file
427,129,128,28,2025-02-08,2025-01-10,480.03,INR,Purchase,Online,SUCCESS,,427,2025-08,25-02-2025,paid,151.24,1311.71,N,incremental autoloader credit card transaction file
428,130,129,29,2025-03-09,2025-02-11,480.92,INR,Purchase,Online,SUCCESS,,428,2025-09,2025-01-19,paid,151.36,1312.44,N,incremental autoloader credit card transaction file
429,131,130,30,2025-01-10,2025-03-12,$700,INR,Purchase,Online,SUCCESS,Y,429,2025-10,2025-02-20,paid,151.48,1313.17,N,incremental autoloader credit card transaction file
430,132,131,31,2025-02-11,2025-01-13,482.7, inr ,Purchase,Online,SUCCESS,,430,2025-11,2025-03-21,paid,151.6,1313.9,N,incremental autoloader credit card transaction file
431,133,132,32,2025-03-12,2025-02-14,483.59,INR,Purchase,Online,SUCCESS,,431,2025-12,2025-01-22,paid,151.72,1314.63,N,incremental autoloader credit card transaction file
432,134,133,33,2025-01-13,2025-03-15,484.48,, purchase ,,failed,,,2025-01,wrong_date,OVERDUE,,"₹5,000",N,incremental autoloader credit card transaction file
433,135,134,34,2025-02-14,,485.37,INR,Purchase,Online,SUCCESS,,433,2025-02,2025-03-24,paid,151.96,1316.09,N,incremental autoloader credit card transaction file
434,136,135,35,2025-03-15,2025-02-17,486.26,USD,Purchase,Online,SUCCESS,N,434,2025-02,2025-01-25,paid,152.08,1316.82,N,incremental autoloader credit card transaction file
435,137,136,36,,25-02-2025,487.15,INR,Purchase, mobile app ,SUCCESS,,435,2025-04,2025-02-26,paid,152.2,1317.55,N,incremental autoloader credit card transaction file
